author,content,time,sentiment,principal
cooldogy1973,沒有你們天天抹哪來現在柯文哲,05/17,0.7274076183893738,柯文哲
tinmar,這種柯文哲式幹話會得罪選民,05/17,0.26065240837667625,柯文哲
krajicek,可是板上一堆郭粉說要投柯文哲耶,05/17,0.10774363719554503,柯文哲
cystal,柯文哲就是舔共垃圾不服來辯,05/17,0.029144385398385042,柯文哲
TheoEpstein,柯文哲搞不好組聯合內閣,05/17,0.06256413792343207,柯文哲
TheoEpstein,侯友宜拿4%柯文哲就當選了啊,05/17,0.33658285681030653,柯文哲
tim1112,柯文哲也可以找民進黨的當內閣啊,05/17,0.1984984766807597,柯文哲
jj314257,柯文哲就靠舔藍的覽趴活下來的當然是,05/17,0.5123137571436008,柯文哲
guitarspirit,就跟現在侯友宜+柯文哲的選票也會贏,05/17,0.1958260485733112,柯文哲
drea,都是最後一名都爛爆了柯文哲也一樣,05/17,0.08419028381206439,柯文哲
guitarspirit,柯文哲做不好事實天花板不高也事實,05/17,0.15820005297018103,柯文哲
drea,再加上柯文哲,05/17,0.49423527898592656,柯文哲
allpass1983,柯文哲很多政策都是管理人民當然會,05/17,0.6133298560547567,柯文哲
joe00477,沒有柯文哲分票侯友宜會贏如果明年,05/17,0.9297061514865005,柯文哲
joe00477,沒有下架民進黨柯文哲就是歷史罪人,05/17,0.4509817216847105,柯文哲
wawaking1,贏醫學系柯文哲阿,05/17,0.48424537244690724,柯文哲
joe00477,柯文哲就是來亂的,05/17,0.21314270924004342,柯文哲
skyexers,堅定派猴壯大柯文哲嗎XDDD真是聰明的,05/17,0.22909260797598086,柯文哲
wilson3435,白癡柯文哲正在滅亡的是藍他只要,05/17,0.5184506541074559,柯文哲
skyexers,郭只要偶爾在美國巧遇柯文哲就能讓藍,05/17,0.781829644536331,柯文哲
malisse74,完全忽略柯文哲快爬到第二,05/17,0.6840857207859552,柯文哲
conanhide,柯文哲永遠只會說我跟你說然後包,05/17,0.03679087009386062,柯文哲
conanhide,2024一定要讓柯文哲好好嚐到生涯大敗,05/17,0.8182821749722281,柯文哲
indium111,連柯粉最愛喊的屯房稅柯文哲還曾經,05/17,0.978474526637488,柯文哲
whiteheart,那個智障說柯文哲打房的,05/17,0.08809495148627944,柯文哲
arumi416,李登輝柯文哲頭腦怪怪的偎來偎去,05/17,0.6172867729807239,柯文哲
jimmywu83,柯文哲太會蹭了吧,05/17,0.13149924219620357,柯文哲
wawaking1,有柯文哲就沒有民眾黨,05/17,0.6705079779989813,柯文哲
threesmallgo,柯文哲宣布台灣獨立我就投你,05/17,0.10977793325276775,柯文哲
kku6869,時後柯文哲可能會爆衝畢竟他的能力,05/17,0.055589127839596464,柯文哲
indium111,老宋當年全台幾乎走透透柯文哲連六,05/17,0.9017923514708415,柯文哲
indium111,而且老宋當年是要五毛給一塊柯文哲,05/17,0.4937040032447898,柯文哲
michaelkobe,青壯派菁英柯文哲有啥,05/17,0.7333087800554626,柯文哲
purplvampire,柯文哲要徵屯房稅還被藍綠議員擋咧,05/17,0.5183148625155767,柯文哲
mnhyuiop,第三名註定是柯文哲了別笑死人了,05/17,0.3548143816096275,柯文哲
xcycl,選柯文哲跟選國民黨有差嗎,05/17,0.06544401460276339,柯文哲
zzzzzzzzzzzy,維持和平現狀柯文哲,05/17,0.5130609608228492,柯文哲
excia,柯粉是不是以為柯文哲年輕人支持度有九成,05/17,0.09990108513711382,柯文哲
excia,啊現在不是2014年欸柯文哲在2029領先賴,05/17,0.6731538721306584,柯文哲
excia,整個八卦都是在恭喜賴清德你跟我說柯文哲,05/17,0.83102798581033,柯文哲
benothing,我已經可以看到柯文哲在流口水了藍,05/17,0.043159521686873314,柯文哲
zzzzzzzzzzzy,一些外省藍可能會跑票柯文哲,05/17,0.23364305571049226,柯文哲
wulaw5566,投柯文哲就是保送賴清德外省藍怎麼,05/17,0.3249565440759348,柯文哲
malisse74,柯文哲那口國語外省藍真的投得下去,05/17,0.5189920833538573,柯文哲
akway,恭喜柯文哲圓夢了獲得提名,05/17,0.5631894148327633,柯文哲
chyichyi23,票投柯文哲教訓國民黨,05/17,0.6833842198071394,柯文哲
hulu63,柯文哲之前說台灣會陷入焦慮看來真的被,05/17,0.05131456320187211,柯文哲
pkpk23456,問你家兩老柯文哲有國民黨黨證嗎為啥,05/17,0.15989350329691232,柯文哲
ShiFatOtaku,真的目前把柯文哲當成千古罪人中,05/17,0.7607766998167983,柯文哲
recount,柯文哲選不選關他屁事啊,05/17,0.07601653929460017,柯文哲
yudofu,柯文哲又不是國民黨分出來的人怎麼跟宋,05/17,0.7301752484358163,柯文哲
TW1762WK,國民黨選輸干柯文哲屁事,05/17,0.3653176874743018,柯文哲
joe10337,25%腦子壞了柯文哲才不選超強,05/17,0.6855674561582162,柯文哲
kairi5217,笑死柯文哲耕耘什麼,05/17,0.8238973008826866,柯文哲
yisdl,你以為國民黨選民真心支持柯文哲喔XD,05/17,0.9042444919152742,柯文哲
skylion,這格調跟柯文哲差太多,05/17,0.2352111786018708,柯文哲
kymco9999,ㄟ國民黨要跟你柯文哲合作要不要,05/17,0.10839826946852005,柯文哲
s81048112,柯文哲我們從來不知道他想幹什麼,05/17,0.6915590572407084,柯文哲
ssiou,猴子出線柯文哲20%起跳當然要恭喜,05/17,0.6981715842906364,柯文哲
hatsuha,來個韓總機20柯文哲爽死,05/17,0.011077974452232353,柯文哲
indium111,柯粉老是說我們綠粉愛反串柯文哲自,05/17,0.6537142621802947,柯文哲
flyintosky13,政黑大家可恭喜柯文哲,05/17,0.728966598136524,柯文哲
palindromes,柯文哲有25％也是滿強的,05/17,0.6377401826150279,柯文哲
ymlin0331,柯文哲根本鬼才他之前就說過,05/17,0.26562283408227605,柯文哲
conanhide,這數據就是要柯文哲滾一邊去不然就是,05/17,0.45425766960053704,柯文哲
conanhide,柯文哲就是民進黨推進器,05/17,0.4252481781339196,柯文哲
dahlia7357,柯文哲有20%就血賺了,05/17,0.7012487430111956,柯文哲
ssiou,柯文哲會打猴子用不著民進黨吧,05/17,0.4809165182475037,柯文哲
rogudan,柯文哲這次當總統許多在野大聯盟可以,05/17,0.9245544738018107,柯文哲
s6210603,重點是柯文哲參選就是垃圾就算柯,05/17,0.058992885172904574,柯文哲
urgrandpa,柯文哲鐵粉真的有這麼多喔,05/17,0.0787693081531422,柯文哲
kymco9999,但柯文哲一拿進去侯友宜就縮水了,05/17,0.6638193654357846,柯文哲
elainakuo,不要小看柯文哲的影響力,05/17,0.604598722581028,柯文哲
cfetan,相當程度擠壓了柯文哲的兩岸空間柯又較,05/17,0.027058980518206988,柯文哲
Taiwan007,投賴可以投柯文哲,05/17,0.33182401408178563,柯文哲
s6210603,對他還好比較討厭柯文哲,05/17,0.4115975536521266,柯文哲
boxcar,恭賀柯文哲拿第二了哀,05/17,0.9840542127720823,柯文哲
kterry01,對了剛剛民眾黨正式提名柯文哲選了柯,05/17,0.822375251758567,柯文哲
joe2,本土神經病瘋子化柯文哲一定要排擠,05/17,0.2711660536641626,柯文哲
hatephubbing,恭喜侯友宜我會投柯文哲,05/17,0.891490871860413,柯文哲
sd09090,柯文哲瑟瑟發抖,05/17,0.954817435374038,柯文哲
sd09090,朱大師第三階段收伏潑猴柯文哲,05/17,0.45147837523759893,柯文哲
sd09090,柯文哲如果低頭下場老宋+郭懂,05/17,0.9385128748596266,柯文哲
laman45,柯文哲就是來擠壓國民黨的生存空間合,05/17,0.10478336109866138,柯文哲
rogudan,柯文哲的目的是立委席次選到總統是賺,05/17,0.1412549724425195,柯文哲
rogudan,到所以如果呈現新竹模式柯文哲一定,05/17,0.8284004596960644,柯文哲
rogudan,給柯文哲什麼或者國民黨能全盤棄保掉,05/17,0.5713646110887051,柯文哲
airphone,侯出來不用在肖想柯文哲會不選,05/17,0.0379703465634087,柯文哲
willson2000,柯文哲接不接受整合決定白能不能,05/17,0.05460854036125029,柯文哲
tsgd,意外我想他不能接受柯文哲吧上屆就這樣了,05/17,0.38351461880493154,柯文哲
ss123428,他如果跟柯文哲合作競選基金更難從中,05/17,0.23539692895319664,柯文哲
ex11,從疫情時代只會跟著柯文哲的政策走哪裡強,05/17,0.700667838640316,柯文哲
tony121010,選KMT最大的對手是柯文哲啊XD,05/17,0.6309454710254698,柯文哲
tenfu,先擔心柯文哲吧,05/17,0.5007681921666723,柯文哲
yisdl,高弘安是國民黨自願保送跟柯文哲交換用的,05/17,0.3091673377028732,柯文哲
yisdl,總統局還妄想國民黨派人去幫柯文哲助選喔,05/17,0.24914021348311666,柯文哲
pkpk23456,郭只要不小心巧遇幾次柯文哲那場面就,05/17,0.2596624542407511,柯文哲
mynumber55,柯文哲台北市裡面有很多可以挖啦,05/17,0.8485198024785345,柯文哲
malisse74,柯文哲市長室的政二代實習生,05/17,0.29261248336319756,柯文哲
malisse74,想必跟柯文哲也是毫無關係,05/17,0.606464566057898,柯文哲
akway,柯文哲被賣了,05/17,0.5366878821611937,柯文哲
tsgd,跟柯文哲車拚一下爭奪郭粉票源吧,05/17,0.7739987300403584,柯文哲
letmesee3085,我選柯文哲,05/17,0.2785638591182966,柯文哲
Coffeewater,不可能但只要有柯文哲分票就不可能,05/17,0.24366331221716153,柯文哲
Coffeewater,第一而且柯文哲的票不會為了讓,05/17,0.011411236032152772,柯文哲
Coffeewater,很明顯侯賴一對一是PK盤加柯文哲,05/17,0.19521043052329956,柯文哲
akway,柯文哲一定比黃珊珊弱,05/17,0.35571517029127386,柯文哲
notea,坐二望一吧連柯文哲都輸朱立倫可以切一,05/17,0.7826733193426662,柯文哲
Lailungsheng,不不不沒有為柯文哲賣過房子的,05/17,0.003233264779093803,柯文哲
holysong,多做少說天天yt搜柯文哲冥眾黨按,05/17,0.7481953595908097,柯文哲
HODALA,全力支持柯文哲維持等邊三角形,05/17,0.06629815797446104,柯文哲
rogudan,柯文哲智才雙全有北市政績做後盾廣,05/17,0.3264070177775069,柯文哲
micpen,你當柯文哲是年輕妹子喔不如推學姊票還,05/17,0.07962721135563,柯文哲
Coffeewater,不把柯文哲打死就會讓柯文哲一直吃票,05/17,0.04960278091248793,柯文哲
Coffeewater,柯文哲至少能選五次跟宋楚瑜,05/17,0.8412205350182312,柯文哲
hbj1941,看來柯文哲不用玩了,05/17,0.8615688837388927,柯文哲
a1223356,色特別是金融外交這些柯文哲比較,05/17,0.7660022784874384,柯文哲
indium111,我覺得柯文哲不會想找黃國昌黃國昌,05/17,0.6298331083134555,柯文哲
indium111,要是拿出反紅媒承諾書讓柯文哲簽柯,05/17,0.9622671456897911,柯文哲
akway,放心柯文哲會打,05/17,0.48106035418433757,柯文哲
indium111,我以為反綠還有柯文哲可以投,05/17,0.44664046312563876,柯文哲
scott01,德跟柯文哲變億萬富翁,05/17,0.1970016253633632,柯文哲
a4302f,有種國民黨柯文哲提出砍勞工勞保方案,05/17,0.04274461558182985,柯文哲
dslite,只有柯文哲想要炒熱吧,05/17,0.3881831052621313,柯文哲
sfparanoia,你以為柯文哲像popo軍神一樣嗎,05/17,0.01195884830518923,柯文哲
miler22020,柯文哲先交往看看,05/17,0.9335242735848864,柯文哲
WeGoYuSheng,柯文哲跟黑的互動你們就可以自圓其說,05/17,0.17898279530972527,柯文哲
windom,柯文哲哲批拉基人就是專門搞這一套,05/17,0.17080346354906684,柯文哲
SunnyBrian,亂講2020沒能殲滅柯文哲才扼腕居,05/17,0.21534860074969775,柯文哲
TheoEpstein,的搞不好是柯文哲英粉咬牙切齒啊,05/17,0.050272211821948076,柯文哲
cycy771489,柯文哲對九二共識的立場誰知道,05/17,0.5472282663006851,柯文哲
conanhide,柯文哲92共識被污名化了,05/17,0.33031133915913313,柯文哲
blargelp,柯文哲要分兩個20142020版本你版本,05/17,0.23591556540638126,柯文哲
conanhide,柯文哲同一年還有不同版本喔,05/17,0.3548744298478388,柯文哲
conanhide,韓化柯文哲墨綠柯文哲留美柯文哲,05/17,0.9661253385251526,柯文哲
conanhide,雙體柯文哲,05/17,0.3427284083997302,柯文哲
akway,柯文哲哪裡台派不要亂分類,05/17,0.02088366561831423,柯文哲
Lailungsheng,柯文哲在呼吸欸好噁蔡英文在呼吸,05/17,0.9347140560546253,柯文哲
windom,那你們主子柯文哲呢一個素人搞詐騙起家,05/17,0.045641917446709535,柯文哲
dragonjj,那你怎麼評價柯文哲只要有柯文哲在,05/17,0.12915466045908197,柯文哲
selisja,投柯文哲,05/17,0.45724517138837606,柯文哲
spa41260,其實柯文哲也可以跳出來說自己沒受邀,05/17,0.2874615358679249,柯文哲
jimmywu83,我實在看不出來柯文哲的兩岸政策和蔡,05/17,0.7632514732213702,柯文哲
hbj1941,柯文哲的異想世界,05/17,0.8257423833280485,柯文哲
dahlia7357,事實柯文哲講的話跟先知沒兩樣,05/17,0.014077107558530533,柯文哲
tibo96033,抖內柯文哲,05/17,0.09443930890506991,柯文哲
joanrey,暗助柯文哲就很夠了,05/17,0.8530314726504132,柯文哲
stu60001,大局我郭台銘這一票要支持柯文哲下,05/17,0.41308681223352106,柯文哲
pttsad,阿銘柯文哲我來了,05/17,0.6547139430661755,柯文哲
tibo96033,柯文哲會同意才怪,05/17,0.04602184227926509,柯文哲
peachnest,除非沈大老認為柯文哲也怕侯,05/17,0.5968132369851153,柯文哲
Capital235,你先叫柯文哲退選,05/17,0.06883872314658801,柯文哲
ss123428,柯文哲會比侯高票,05/17,0.36620153671180633,柯文哲
metro721,柯文哲參選板塊會怎麼移動很難講會不,05/17,0.0029704352315047533,柯文哲
spa41260,這次三角督有柯文哲上竄下跳吸引砲火,05/17,0.06021054040737328,柯文哲
akway,看能不能邊緣柯文哲不然穩輸,05/17,0.33806641036737495,柯文哲
spa41260,侯友宜一定比當年連戰強柯文哲又比當,05/17,0.7490270040540858,柯文哲
spa41260,而且柯文哲畢竟跟宋楚瑜有本質上不同,05/17,0.8423838954757682,柯文哲
spa41260,宋楚瑜是KMT出來的柯文哲跟kmt沒有任,05/17,0.9501550418099484,柯文哲
thumbb95789,柯文哲加油當選2024總統修復人民,05/17,0.05080065533016487,柯文哲
rogudan,柯文哲才是人民最大公約數也是美中平,05/17,0.9824257405560535,柯文哲
nosheep,改變台灣從票投柯文哲開始不想改變,05/17,0.0018249314165610375,柯文哲
jimhall,柯文哲在2028吧現在一定是選不上,05/17,0.35294410761952344,柯文哲
takuminauki,柯文哲跟侯友宜都是草包拉,05/17,0.6599090418587058,柯文哲
holyhelm,邊緣柯文哲就好,05/17,0.7488893462537908,柯文哲
ss123428,侯友宜比較像連戰柯文哲比較像宋楚瑜,05/17,0.9907743426974153,柯文哲
coeXist,會在政黑發柯文哲高潮文的幾乎都是反串啦,05/17,0.9252111102230405,柯文哲
s6210603,複製新竹難度不小柯文哲之前講話都得,05/17,0.34342154401162706,柯文哲
e12518166339,穩了呼籲kmt票投柯文哲,05/17,0.242227251531708,柯文哲
s6210603,柯文哲南部票開的應該會開的很爛反而,05/17,0.04915638775263809,柯文哲
s6210603,反正侯郭誰選都是垃圾柯文哲參選,05/17,0.005079082405793356,柯文哲
SnakeO,柯文哲這種說得出習禁評太有責任感的人,05/17,0.12892828880590068,柯文哲
eric999,難怪會支持柯文哲跟民眾黨XD,05/17,0.888470216932057,柯文哲
eric999,只會在鏡頭前亮相講講幹話的人叫柯文哲,05/17,0.39896023376046974,柯文哲
thumbb95789,柯文哲加油當選2024修復人民對政,05/17,0.1467772625037127,柯文哲
nysky,柯文哲就是一個和中共合作的大騙子吃屎,05/17,0.05822285605796118,柯文哲
hung0925,投給柯文哲,05/17,0.2214399293779722,柯文哲
luciffar,票投柯文哲教訓國民党,05/17,0.8558164977030727,柯文哲
conanhide,柯文哲也在那口號備戰,05/17,0.42153024545932394,柯文哲
gogen,猴猴的對手是柯文哲跟賴清德口才都很好,05/17,0.6524772381869047,柯文哲
windom,t柯文哲feat顏清標黑白力量大集合,05/17,0.4674544580149964,柯文哲
Taiwan007,柯文哲大概20趴,05/17,0.2595317354165221,柯文哲
Taiwan007,柯文哲被棄保的話不會有20趴,05/17,0.008578438933517285,柯文哲
pemoney,那柯文哲都說你條件不說怎麼合這哪有清高,05/17,0.034656407962474045,柯文哲
indium111,最爽的是柯文哲侯郭兩人對賴都差不多,05/17,0.979280500178246,柯文哲
indium111,我周遭30歲以下的人都是討厭柯文哲,05/18,0.7734245688410826,柯文哲
tinmar,原PO可以去谷歌柯文哲如何評價自己第一任,05/18,0.3632725157076512,柯文哲
skylion,其實柯文哲想蹭造浪滿怪的,05/18,0.7965861671388675,柯文哲
papagenoyi,好了啦柯文哲最適合的位置就柵欄版,05/18,0.9441774443716663,柯文哲
LeeSeDol,柯文哲也很賊明明民眾黨也不適合推派,05/18,0.8252648559555112,柯文哲
windom,誰說柯文哲民眾敗類ˇ黨沒有中心思想,05/18,0.2496847265511397,柯文哲
benothing,柯文哲的包牌式說嘴阿看不到他到底信,05/18,0.2176987319878032,柯文哲
benothing,價值但是無用柯文哲沒價值也無用,05/18,0.06376280699920878,柯文哲
wawaking1,柯文哲低薪是教育出問題教出來的,05/18,0.40993815565180514,柯文哲
PyTorch,看到網軍這麼緊張就知道柯文哲真的有料,05/18,0.9218608206530137,柯文哲
Harvard5566,我憂心的不是柯文哲而是台灣親美,05/18,0.7131339573293044,柯文哲
cutesoda,所以你是覺得柯文哲站錯邊了,05/18,0.8736621999329198,柯文哲
purplvampire,亂扯柯文哲何時學DPP操弄仇恨對立,05/18,0.3170607001681254,柯文哲
Harvard5566,柯文哲真的要回頭是岸,05/18,0.49377841805484235,柯文哲
brella,柯文哲只有三角褲,05/18,0.26876809423503534,柯文哲
andytank,好的我會投給柯文哲,05/18,0.11908814610574914,柯文哲
peterw,柯文哲不是聖主明君是玄天上帝,05/18,0.7671816427439069,柯文哲
andytank,你好我投柯文哲,05/18,0.46224639493212905,柯文哲
webster1112,柯文哲顛覆了我對高智商的印象,05/18,0.876771498015669,柯文哲
Sosonian,柯文哲又不是聖人你是把民主參與當成,05/18,0.11973476242819303,柯文哲
Sosonian,柯文哲我支持的地方之一就是他沒在那,05/18,0.4006338271637706,柯文哲
Sosonian,蔡英文這種就是跟柯文哲最大的對照,05/18,0.7809092809506167,柯文哲
Sosonian,柯文哲他敢講所以他在承受講錯被人打,05/18,0.9945148308968497,柯文哲
Sosonian,柯文哲能獲得支持不過是選民知道一件,05/18,0.36617632807606904,柯文哲
SnakeO,笑死所以不相信謊珊珊的也別相信柯文哲,05/18,0.5180828844314973,柯文哲
devin0329,柯文哲仇女第一品牌,05/18,0.7990945085009831,柯文哲
mark1127,其實郭董是在幫柯文哲看不出來嗎,05/18,0.6863564895602863,柯文哲
brella,4一直洗風向耶柯文哲的死忠仔,05/18,0.11095324381023575,柯文哲
JamesForrest,嘔嘔嘔想學柯文哲喔人家外科的捏,05/18,0.10981936207269893,柯文哲
mark2326,這以前聽過遮住名字我還以為是柯文哲,05/18,0.09880359212320189,柯文哲
s6210603,不太可能那柯文哲自己的不分區要選什,05/18,0.19392475230944928,柯文哲
Coffeewater,國民黨應該要禮讓柯文哲因為藍的票,05/18,0.2320293967655055,柯文哲
Coffeewater,如果國民黨沒有禮讓柯文哲就表示國,05/18,0.9226776336193744,柯文哲
Crazyfire,柯文哲恭喜侯友宜,05/18,0.849248632633431,柯文哲
Aidrux,投柯文哲給你參考,05/18,0.25053023370291794,柯文哲
Aidrux,柯文哲未必會輸屆時有人出來整合柯,05/18,0.16363309225898126,柯文哲
LPXLCSK,的人好好去研究一下柯文哲第二次執政以,05/18,0.8072518594162807,柯文哲
LPXLCSK,話就會知道為何現在一堆人討厭柯文哲,05/18,0.29419115119502404,柯文哲
LPXLCSK,柯文哲光是防疫就搞得亂七八糟到現在都,05/18,0.03150111063225536,柯文哲
LPXLCSK,人遼闊當然不會被柯文哲這種不懂裝懂的,05/18,0.0034050006453072434,柯文哲
meowytw,先打趴柯文哲然後操作棄保就有機會贏,05/18,0.040827623680156244,柯文哲
tsgd,國民黨如果能打趴柯文哲我到想見識一下是什,05/18,0.3918593959612231,柯文哲
brella,公關帳號真的很勤著舔柯文哲,05/18,0.9815055843743407,柯文哲
onetwo01,蔡英文本來要培養柯文哲的但就沒了,05/18,0.679127821432579,柯文哲
lordray1,要不要請柯文哲宣誓不要低學歷老人投民,05/18,0.07763888425689569,柯文哲
